Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster
 Hajek J.,2.0,1.0,0.0,1.0,79.0,1.0,0.0,0.0,1
Acasuso J.,192.0,68.0,5.0,101.0,20.0,67.0,0.0,34.0,3
Adaktusson J.,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,1
Agamenone F.,5.0,2.0,0.0,3.0,156.0,3.0,0.0,0.0,1
Agassi A.,37.0,17.0,3.0,26.0,6.0,0.0,2.0,24.0,1
Agostinelli B.,1.0,1.0,0.0,0.0,1171.0,0.0,0.0,0.0,1
Aguilar J.,4.0,4.0,0.0,0.0,223.0,0.0,0.0,0.0,1
Ahouda A.,4.0,2.0,0.0,1.0,727.0,1.0,0.0,0.0,1
Ajdukovic D.,12.0,7.0,0.0,4.0,110.0,4.0,0.0,0.0,1
Al Ghareeb M.,4.0,3.0,0.0,0.0,352.0,0.0,0.0,0.0,1
Al-Ghareeb M.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0,1
Albot R.,222.0,107.0,1.0,86.0,39.0,20.0,8.0,58.0,3
Alcaide G.,1.0,1.0,0.0,0.0,238.0,0.0,0.0,0.0,1
Alcaraz C.,238.0,52.0,20.0,187.0,1.0,72.0,24.0,91.0,3
Aldi F.,5.0,3.0,0.0,1.0,112.0,1.0,0.0,0.0,1
Almagro N.,595.0,137.0,23.0,360.0,9.0,248.0,11.0,101.0,2
Almagro N. ,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,1
Altamirano C.,1.0,1.0,0.0,0.0,345.0,0.0,0.0,0.0,1
Altmaier D.,120.0,70.0,0.0,41.0,47.0,23.0,5.0,13.0,1
Alund M.,17.0,14.0,0.0,7.0,91.0,7.0,0.0,0.0,1
Alvarez Varona N.,3.0,2.0,0.0,1.0,231.0,0.0,0.0,1.0,1
Alves M.,1.0,1.0,0.0,0.0,556.0,0.0,0.0,0.0,1
Alves T.,28.0,20.0,0.0,7.0,105.0,1.0,2.0,4.0,1
Amritraj P.,21.0,5.0,1.0,10.0,159.0,0.0,8.0,2.0,1
Ancic M.,178.0,67.0,8.0,118.0,9.0,17.0,16.0,85.0,3
Anderson A.,1.0,1.0,0.0,0.0,1564.0,0.0,0.0,0.0,1
Anderson K.,573.0,129.0,20.0,331.0,5.0,57.0,46.0,228.0,2
Anderson O.,1.0,1.0,0.0,0.0,813.0,0.0,0.0,0.0,1
Andreev A.,7.0,6.0,0.0,2.0,211.0,0.0,0.0,2.0,1
Andreev I.,325.0,116.0,6.0,167.0,19.0,81.0,8.0,78.0,3
Andreev I. ,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1
Andreozzi G.,40.0,31.0,0.0,12.0,74.0,6.0,1.0,5.0,1
Androic T.,2.0,2.0,0.0,0.0,294.0,0.0,0.0,0.0,1
Andujar P.,383.0,128.0,9.0,153.0,36.0,111.0,3.0,39.0,3
Aragone J.,2.0,2.0,0.0,0.0,289.0,0.0,0.0,0.0,1
Aragone J.C.,1.0,1.0,0.0,0.0,299.0,0.0,0.0,0.0,1
Aragone JC,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,1
Aranguren J.M.,2.0,2.0,0.0,0.0,257.0,0.0,0.0,0.0,1
Arevalo M.,2.0,2.0,0.0,0.0,145.0,0.0,0.0,0.0,1
Arguello F.,16.0,11.0,0.0,1.0,107.0,1.0,0.0,0.0,1
Armando H.,15.0,12.0,0.0,5.0,167.0,5.0,0.0,0.0,1
Arnaboldi A.,14.0,10.0,0.0,4.0,165.0,4.0,0.0,0.0,1
Arnaldi M.,79.0,41.0,0.0,40.0,30.0,16.0,1.0,23.0,1
Arthurs W.,31.0,21.0,0.0,14.0,77.0,0.0,3.0,11.0,1
Artunedo Martinavarro A.,1.0,1.0,0.0,0.0,340.0,0.0,0.0,0.0,1
