,total_matches,total_tournaments,total_finals,total_wins,best_rank,career_span_days,avg_sets_per_match,top_10_wins,ranking_stability,wins_clay,wins_grass,wins_hard,wins_atp250,wins_atp500,wins_grand slam,wins_international,wins_international gold,wins_masters,wins_masters 1000,wins_masters cup,wins_month_1,wins_month_2,wins_month_3,wins_month_4,wins_month_5,wins_month_6,wins_month_7,wins_month_8,wins_month_9,wins_month_10,wins_month_11,wins_month_12,wins_1st_round,wins_2nd_round,wins_3rd_round,wins_4th_round,wins_quarterfinals,wins_round_robin,wins_semifinals,wins_the_final,win_rate,finals_rate
 Hajek J.,2.0,1.0,0.0,1.0,79.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Abdulla M.,1.0,1.0,0.0,0.0,1349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abel M.,8.0,8.0,0.0,1.0,191.0,0.0,3.0,0.0,82.46211251235322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
Acasuso J.,340.0,109.0,11.0,175.0,20.0,3650.0,2.3714285714285714,5.0,36.205290483660136,132.0,0.0,43.0,16.0,4.0,12.0,93.0,18.0,31.0,1.0,0.0,7.0,50.0,12.0,11.0,19.0,0.0,18.0,26.0,26.0,6.0,0.0,0.0,84.0,49.0,6.0,0.0,22.0,0.0,11.0,3.0,0.5147058823529411,0.03235294117647059
Adaktusson J.,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agaev E.,1.0,1.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agamenone F.,5.0,2.0,0.0,3.0,156.0,3.0,2.6666666666666665,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0
Agassi A.,337.0,69.0,24.0,257.0,1.0,2419.0,2.622568093385214,32.0,5.470822286591285,39.0,19.0,199.0,0.0,0.0,80.0,71.0,17.0,81.0,0.0,8.0,28.0,23.0,45.0,12.0,24.0,20.0,21.0,49.0,9.0,15.0,11.0,0.0,53.0,62.0,38.0,19.0,40.0,6.0,24.0,15.0,0.7626112759643917,0.0712166172106825
Agenor R.,25.0,23.0,0.0,6.0,88.0,364.0,2.5,0.0,26.14236173192998,3.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
Ager J.,2.0,2.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agostinelli B.,1.0,1.0,0.0,0.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguilar J.,5.0,4.0,0.0,1.0,223.0,0.0,2.0,0.0,123.03657992645927,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Ahouda A.,4.0,2.0,0.0,1.0,727.0,0.0,2.0,0.0,154.8563850798539,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Ajdukovic D.,12.0,7.0,0.0,4.0,110.0,1095.0,2.5,0.0,75.4516559192201,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
Al Ghareeb M.,5.0,4.0,0.0,0.0,352.0,0.0,0.0,0.0,12.727922061357855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Khulaifi N.G.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Alawi S.K.,2.0,1.0,0.0,0.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Ghareeb M.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alami K.,74.0,50.0,0.0,26.0,25.0,812.0,2.6923076923076925,2.0,48.00234603876383,14.0,2.0,10.0,0.0,0.0,4.0,13.0,4.0,5.0,0.0,0.0,2.0,4.0,0.0,8.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,17.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.35135135135135137,0.0
Albert M.,1.0,1.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albot R.,222.0,107.0,1.0,86.0,39.0,3675.0,2.686046511627907,0.0,29.1870508855201,20.0,8.0,58.0,56.0,5.0,15.0,0.0,0.0,0.0,10.0,0.0,4.0,22.0,3.0,6.0,8.0,5.0,12.0,8.0,7.0,8.0,3.0,0.0,58.0,19.0,0.0,0.0,7.0,0.0,1.0,1.0,0.38738738738738737,0.0045045045045045045
Alcaide G.,1.0,1.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcaraz C.,238.0,52.0,20.0,187.0,1.0,1730.0,2.6898395721925135,34.0,60.18070832080259,72.0,24.0,91.0,25.0,40.0,57.0,0.0,0.0,0.0,62.0,3.0,5.0,18.0,25.0,21.0,21.0,17.0,27.0,13.0,17.0,16.0,7.0,0.0,27.0,47.0,27.0,17.0,30.0,3.0,20.0,16.0,0.7857142857142857,0.08403361344537816
Aldi F.,8.0,5.0,0.0,1.0,308.0,0.0,2.0,0.0,102.66844463519217,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
