Tournament,Country,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,Cluster
178,39,0,3,1,0,0,3,873,994,672,20.0,112.0,1425.0,381.0,1.1,6.0,5082,2
178,39,0,3,1,0,0,3,899,1072,842,132.0,917.0,326.0,9.0,1.66,2.1,783,0
178,39,1,3,1,0,0,3,1144,405,877,27.0,109.0,1200.0,391.0,1.19,4.0,2619,2
178,39,1,3,1,0,0,3,244,311,241,136.0,31.0,315.0,1150.0,7.0,1.07,1388,2
178,39,1,3,1,0,0,3,76,496,62,42.0,71.0,811.0,541.0,1.19,4.0,2990,2
178,39,1,3,1,0,0,3,1,12,9,44.0,88.0,781.0,469.0,1.39,2.75,1388,2
178,39,1,3,1,0,0,3,343,573,262,73.0,98.0,536.0,410.0,1.61,2.2,5091,2
178,39,1,3,1,0,0,3,706,727,568,66.0,3.0,587.0,3635.0,11.0,1.02,129,2
178,39,1,3,1,0,0,3,1147,952,879,63.0,119.0,595.0,364.0,1.33,3.0,547,0
178,39,1,3,1,0,0,3,136,639,500,96.0,50.0,415.0,712.0,2.0,1.72,129,2
178,39,1,3,1,0,0,3,949,746,726,97.0,68.0,415.0,567.0,2.87,1.36,5091,2
178,39,1,3,1,0,0,3,135,715,558,130.0,28.0,330.0,1180.0,8.0,1.05,2050,2
178,39,1,3,1,0,0,3,708,98,544,67.0,104.0,576.0,403.0,1.39,2.75,2969,2
178,39,1,3,1,0,0,3,659,958,750,85.0,38.0,475.0,925.0,2.1,1.66,473,2
178,39,1,3,1,0,0,3,431,321,335,80.0,259.0,488.0,141.0,1.44,2.62,1021,0
178,39,1,3,1,0,0,3,475,1048,824,14.0,105.0,1545.0,402.0,1.9,1.8,5658,2
178,39,2,3,1,0,1,3,76,12,62,42.0,88.0,811.0,469.0,1.8,1.9,1744,2
178,39,2,3,1,0,1,3,725,1120,879,28.0,63.0,1180.0,595.0,1.28,3.5,4397,2
178,39,2,3,1,0,1,3,1144,1072,877,27.0,917.0,1200.0,9.0,1.25,3.75,2013,0
178,39,3,3,1,0,1,3,343,311,241,73.0,31.0,536.0,1150.0,5.0,1.14,871,2
178,39,3,3,1,0,1,3,741,639,568,3.0,50.0,3635.0,712.0,1.02,11.0,3015,2
178,39,3,3,1,0,1,3,986,430,335,38.0,80.0,925.0,488.0,1.36,3.0,2530,2
178,39,3,3,1,0,1,3,1077,930,824,105.0,97.0,402.0,415.0,2.75,1.39,3784,0
178,39,4,3,1,0,4,3,1144,861,672,27.0,20.0,1200.0,1425.0,3.39,1.3,3350,2
178,39,4,3,1,0,4,3,741,311,568,3.0,31.0,3635.0,1150.0,1.11,6.0,3512,2
178,39,4,3,1,0,4,3,431,1048,824,80.0,105.0,488.0,402.0,1.66,2.1,1406,2
178,39,4,3,1,0,4,3,76,1120,62,42.0,63.0,811.0,595.0,2.25,1.57,3482,2
178,39,5,3,1,0,6,3,873,727,568,20.0,3.0,1425.0,3635.0,8.0,1.06,837,2
178,39,5,3,1,0,6,3,76,1048,62,42.0,105.0,811.0,402.0,1.33,3.25,5091,2
178,39,6,3,1,0,7,3,76,727,568,42.0,3.0,811.0,3635.0,11.0,1.02,2785,2
12,40,0,3,1,0,0,3,1091,816,835,59.0,432.0,640.0,64.0,1.097,7.305,3015,0
12,40,1,3,1,0,0,3,574,887,695,290.0,100.0,124.0,408.0,2.1,1.66,3203,0
12,40,1,3,1,0,0,3,946,528,722,84.0,79.0,476.0,488.0,1.44,2.62,4893,0
