,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard
 Hajek J.,2.0,1.0,0.0,1.0,79.0,1.0,0.0,0.0
Acasuso J.,192.0,68.0,5.0,101.0,20.0,67.0,0.0,34.0
Adaktusson J.,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0
Agamenone F.,5.0,2.0,0.0,3.0,156.0,3.0,0.0,0.0
Agassi A.,37.0,17.0,3.0,26.0,6.0,0.0,2.0,24.0
Agostinelli B.,1.0,1.0,0.0,0.0,1171.0,0.0,0.0,0.0
Aguilar J.,4.0,4.0,0.0,0.0,223.0,0.0,0.0,0.0
Ahouda A.,4.0,2.0,0.0,1.0,727.0,1.0,0.0,0.0
Ajdukovic D.,12.0,7.0,0.0,4.0,110.0,4.0,0.0,0.0
Al Ghareeb M.,4.0,3.0,0.0,0.0,352.0,0.0,0.0,0.0
Al-Ghareeb M.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0
Albot R.,222.0,107.0,1.0,86.0,39.0,20.0,8.0,58.0
Alcaide G.,1.0,1.0,0.0,0.0,238.0,0.0,0.0,0.0
Alcaraz C.,238.0,52.0,20.0,187.0,1.0,72.0,24.0,91.0
Aldi F.,5.0,3.0,0.0,1.0,112.0,1.0,0.0,0.0
Almagro N.,595.0,137.0,23.0,360.0,9.0,248.0,11.0,101.0
Almagro N. ,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0
Altamirano C.,1.0,1.0,0.0,0.0,345.0,0.0,0.0,0.0
Altmaier D.,120.0,70.0,0.0,41.0,47.0,23.0,5.0,13.0
Alund M.,17.0,14.0,0.0,7.0,91.0,7.0,0.0,0.0
Alvarez Varona N.,3.0,2.0,0.0,1.0,231.0,0.0,0.0,1.0
Alves M.,1.0,1.0,0.0,0.0,556.0,0.0,0.0,0.0
Alves T.,28.0,20.0,0.0,7.0,105.0,1.0,2.0,4.0
Amritraj P.,21.0,5.0,1.0,10.0,159.0,0.0,8.0,2.0
Ancic M.,178.0,67.0,8.0,118.0,9.0,17.0,16.0,85.0
Anderson A.,1.0,1.0,0.0,0.0,1564.0,0.0,0.0,0.0
Anderson K.,573.0,129.0,20.0,331.0,5.0,57.0,46.0,228.0
Anderson O.,1.0,1.0,0.0,0.0,813.0,0.0,0.0,0.0
Andreev A.,7.0,6.0,0.0,2.0,211.0,0.0,0.0,2.0
